,name,total_rating,cost_rank,abv,cask_type,smoky,peaty,spicy,herbal,oily,full_bodied,rich,sweet,briny,salty,vanilla,tart,fruity,floral
2800,Cooper River Single Run Series Whiskey-St. Benjamin's IPA,0,3,41.4,"new, charred American oak",0,0,40,60,40,40,40,40,0,0,30,70,70,70
2801,Nant Pinot Noir Single Cask Single Malt,2,4,43.0,French oak ex-Pinot Noir casks,10,0,40,20,40,30,50,40,0,10,60,20,70,30
2802,Tualatin Valley Fifty/Fifty American Whiskey,6,3,46.0,"new, charred American oak",10,0,50,60,30,30,40,30,0,0,30,10,10,30
2803,Nikka All Malt Whisky,104,2,40.0,,15,0,30,20,20,50,40,45,0,0,20,20,30,0
2804,Macallan Fine Oak 18 Year,81,5,43.0,"European sherry, American sherry, and American bourbon oak casks",5,0,40,20,50,50,40,60,0,0,60,10,40,30
2805,Old Taylor Straight Bourbon,48,3,40.0,"new, charred American oak",0,0,40,0,60,50,40,60,0,0,30,0,30,0
2806,Glenfiddich 14 Year Rich Oak,191,2,40.0,"american oak casks, then new spanish & new american oak",0,0,60,50,30,40,50,65,0,0,60,40,70,20
2807,Abraham Bowman High Rye Bourbon,8,3,50.0,"new, charred American oak",5,0,75,0,10,75,70,60,0,0,40,20,30,0
2808,Chattanooga Whiskey Co. 1816 Reserve,116,2,45.0,"new, charred American oak",60,0,60,30,30,40,40,60,0,10,60,10,30,30
2809,Hellyers Road Peated Single Malt,24,3,46.2,ex-bourbon,60,70,50,20,50,40,40,30,30,60,60,30,50,30
2810,Duke Kentucky Straight Bourbon,211,2,44.0,"new, charred American oak",20,0,60,10,30,50,60,70,0,20,70,60,40,40
2811,Rebel Yell Straight Rye (Discontinued),119,2,45.0,"new, charred American oak",0,0,40,15,0,60,65,70,0,0,25,10,30,0
2812,Buffalo Trace Experimental Collection 100% French Oak Barrel Aged,5,4,45.0,"new, charred French oak",30,0,90,70,10,60,60,60,10,10,60,50,60,60
2813,Johnett Swiss Single Malt Whisky,10,3,42.0,ex-wine barrels,0,0,10,20,30,60,70,80,0,20,40,30,90,10
2814,Kilbeggan 8 Year Single Grain,48,2,40.0,ex-bourbon,30,0,45,50,40,60,60,70,0,0,40,30,45,20
2815,Six & Twenty 5 Grain Bourbon,44,2,45.0,"new, charred American oak",20,0,70,40,30,40,50,50,0,0,30,30,40,30
2816,Old Forester 1870 Original Batch,794,2,45.0,"new, charred American oak",0,0,60,40,0,50,10,40,0,0,60,20,70,30
2817,Taconic Distillery Founder's Rye,26,2,45.0,"new, charred American oak",10,0,70,50,20,30,50,70,0,0,60,50,80,60
2818,anCnoc Rutter,12,3,46.0,,25,45,30,20,30,25,30,45,55,35,45,50,65,30
