,name,total_rating,cost_rank,abv,cask_type,smoky,peaty,spicy,herbal,oily,full_bodied,rich,sweet,briny,salty,vanilla,tart,fruity,floral
700,"Mortlach 20 Year ""Cowie's Blue Seal""",52,5,43.4,American oak ex-sherry,15,10,40,30,55,65,60,55,20,10,50,25,20,15
701,J.P. Wiser's Commemorative Series Canada 2018,12,2,43.4,New Oak and Canadian Whisky Casks,45,0,55,15,20,50,55,60,5,0,45,30,55,35
702,Old Forester The President's Choice (Re-release),16,4,55.0,"new, charred American oak",40,0,40,50,10,80,90,70,0,10,90,40,10,0
703,GlenAllachie 1978 39 Year 50th Anniversary Bottling #10296,1,5,55.9,Sherry Butt,5,0,35,20,50,60,70,30,0,0,20,35,50,20
704,Rossville Union Barrel Proof Straight Rye,150,3,56.3,"new, charred American oak",10,0,65,30,60,65,70,45,15,5,55,20,30,15
705,Belle Meade Bourbon Mourvèdre Cask Finish,11,4,58.5,finished in mourvèdre red wine cask,40,0,80,40,20,90,70,60,0,0,60,30,70,10
706,Booker's Bourbon Batch 2018-01 Kathleen's Batch,175,3,63.7,"new, charred American oak",10,0,60,40,0,70,70,60,0,10,70,10,0,0
707,J.J. Corry The Gael Irish Whiskey,57,3,46.0,,5,0,15,10,15,75,85,80,0,10,25,30,40,0
708,Highland Park The Dark 17 Year,101,5,52.9,European oak sherry butt,60,50,40,20,30,80,70,60,40,70,70,0,60,40
709,Nikka Miyagikyo Rum Finish (2017 Release),3,5,46.0,finished in rum cask ,15,15,75,20,25,45,60,70,20,15,20,10,90,20
710,Johnnie Walker Blue Label Ghost and Rare Brora,59,5,46.0,,30,30,30,25,15,35,35,45,15,10,25,20,45,30
711,Balvenie Tun 1401 Batch 8,2,5,50.2,American oak casks & European oak sherry butts,15,0,25,15,10,75,85,35,0,0,20,25,60,10
712,Yamazaki Bourbon Barrel 2013,4,5,48.2,ex-bourbon ,10,10,25,15,40,55,65,75,15,25,70,20,80,25
713,Yellowstone Kentucky Straight Bourbon Finished in Charred Wine Casks (2017 Limited Edition),63,4,50.5,"new, charred American oak; finished in charred wine casks  ",15,0,50,25,55,65,70,50,10,0,50,15,30,20
714,Chichibu IPA Cask Finish,8,5,57.5,former IPA barrels,20,25,40,28,50,55,65,80,31,26,33,40,85,70
715,Macallan Classic Cut (2017 Release),221,4,58.4,European and American oak former sherry casks,10,0,60,25,50,60,65,40,10,5,55,10,25,20
716,Yamazaki Limited Edition 2017,28,5,43.0,"American oak, Sherry, Bourbon, European Oak",20,30,45,15,52,60,70,67,20,24,77,34,72,41
717,Glenfiddich Winter Storm 21 Year,130,5,43.0,finished in French oak icewine casks,15,0,50,25,10,45,40,45,0,0,40,25,60,35
718,Eagle Rare 17 Year Bourbon (Fall 2017),54,4,45.0,"new, charred American oak",25,0,35,20,20,50,50,70,0,0,45,45,30,0
719,Balvenie Peat Week 14 Year (2002 Edition),147,4,48.3,American oak,50,40,40,20,10,50,55,45,10,0,40,25,45,35
720,Port Dundas 52 Year (2017 Special Release),9,5,44.6,refill American oak hogheads,20,0,60,0,50,70,60,70,0,20,90,40,50,0
