,name,total_rating,cost_rank,abv,cask_type,smoky,peaty,spicy,herbal,oily,full_bodied,rich,sweet,briny,salty,vanilla,tart,fruity,floral
2100,New Liberty Dutch Malt Whiskey,7,2,51.0,"new, charred oak barrels",15,0,35,25,30,50,45,40,5,5,55,20,30,15
2101,New Liberty Fortunato's Fate Malted Rye Whiskey,9,4,47.5,"new, charred American oak; finished in sherry",20,0,70,20,35,55,50,40,15,10,35,20,35,15
2102,GlenAllachie 1989 28 Year 50th Anniversary Bottling #2587,1,5,45.4,Hogshead,10,5,30,10,35,45,35,20,5,5,30,35,35,10
2103,GlenAllachie 1990 27 Year 50th Anniversary Bottling #2515,0,5,44.9,Sherry Butt,0,0,35,10,30,40,35,25,5,5,40,40,35,10
2104,Heaven's Door Straight Tennessee Bourbon,428,2,45.0,"new, charred American oak",30,0,50,20,40,60,70,70,0,0,80,10,40,10
2105,Eden Mill Hip Flask Series No. 2,0,4,47.0,American oak octave cask (50 liters),35,10,65,10,20,35,50,70,10,15,30,15,40,15
2106,Kinsey Bourbon 4 Year,59,2,47.5,"new, charred American oak",15,0,65,20,55,65,55,50,10,5,40,20,30,15
2107,The Glenrothes 2004,11,3,43.0,ex-sherry American oak,10,0,30,40,0,40,60,50,0,20,60,30,80,50
2108,Wild Turkey Longbranch,1793,2,43.0,"new, charred American oak",20,0,35,45,35,40,40,50,0,0,45,50,30,0
2109,"Lost Spirits Abomination ""Sayers of the Law""",15,3,54.0,"Charred Oak, Late Harvest Riesling seasoned",55,65,20,35,25,40,35,30,45,15,10,5,10,0
2110,Deanston 2008 Bordeaux Red Wine,47,3,58.7,Bordeaux Red Wine Casks,0,0,50,10,50,45,40,40,0,0,35,5,40,5
2111,Sierra Norte Native Oaxacan White Corn,4,2,45.0,French oak,5,0,60,20,30,35,55,35,15,5,35,25,20,15
2112,Lambay Small Batch Blend Finished in Cognac Casks,67,2,40.0,ex-bourbon & ex-cognac,0,0,20,30,0,50,70,60,0,10,70,10,70,30
2113,Jura Seven Wood,139,3,42.0,first-fill ex-bourbon & six types of French oak,25,20,45,0,55,10,15,75,85,65,40,5,75,15
2114,The Essence of Suntory Whisky: Hakushu Rye Type,9,5,57.0,,20,10,65,50,20,25,30,30,40,50,20,40,70,60
2115,The Essence of Suntory Whisky: Chita Wine Cask,6,5,49.0,finished in a wine cask,5,5,30,10,45,40,60,80,10,10,20,15,75,20
2116,Bruichladdich Bere Barley 2008 Islay Grown: Dunlossit Estate,40,4,50.0,American oak ex-bourbon & ex-Tennessee whiskey,10,0,0,5,35,75,70,65,65,70,85,5,55,15
