,whisky_id,link,image,name,avr_rating,category,location,total_rating,price_tier,abv,cask_type,smoky,peaty,spicy,herbal,oily,body,rich,sweet,salty,vanilla,tart,fruity,floral
0,1,/spirits/hibiki-21-year,"https://ip-distiller.imgix.net/images/spirits/42372d30-4dbf-0132-ff20-4a02559918a4/hibiki-21_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Hibiki 21 Year,9.01,Blended,Japan,861.0,5,43.0,"ex-bourbon American oak, ex-sherry European oak, Japanese mizunara",30,85,50,30,20,80,80,85,15,20,25,85,50
1,2,/spirits/highland-park-18,"https://ip-distiller.imgix.net/images/spirits/0755d5c9-c3c7-41e2-9dbe-401070ab6f19/highland_park_18_new_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Highland Park 18 Year,8.89,Peated Single Malt,"Islands, Scotland",2988.0,4,43.0,ex-sherry,40,30,40,20,40,70,80,70,40,50,50,70,20
2,3,/spirits/michter-s-20-year-kentucky-straight-bourbon-2021-release,"https://ip-distiller.imgix.net/images/spirits/c03d5430-18a8-013a-6798-4637613bb8aa/michters_20_year_2018_original_original_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Michter's 20 Year Kentucky Straight Bourbon (2021 Release),9.0,Bourbon,"Kentucky, USA",10.0,5,57.1,"new, charred American oak",15,0,20,0,15,80,90,85,5,30,25,35,0
3,4,/spirits/george-t-stagg-bourbon-fall-2019,"https://ip-distiller.imgix.net/images/spirits/96133fd0-b701-0137-c627-0a8f7e82b852/btac_gts_2019_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",George T. Stagg Bourbon (Fall 2019),9.06,Bourbon,"Kentucky, USA",629.0,4,58.45,"new, charred American oak",40,0,65,50,20,60,60,45,0,60,60,45,0
4,5,/spirits/bowmore-mizunara-cask-finish,"https://ip-distiller.imgix.net/images/spirits/a2fd4c90-7bf1-0133-e87d-6a913c28256d/bowmore_single_malt_mizunara_cask_finish_whisky_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Bowmore Mizunara Cask Finish,7.86,Peated Single Malt,"Islay, Scotland",22.0,5,53.9,"ex-bourbon, ex-sherry, new Mizunara oak",30,20,40,30,10,75,75,60,20,30,20,50,5
5,6,/spirits/the-macallan-m,"https://ip-distiller.imgix.net/images/spirits/a2f91f60-7b29-0133-fe8a-4e080c81bb47/the_macallan_m_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Macallan M,8.68,Single Malt,"Highlands, Scotland",47.0,5,44.7,sherry oak casks,50,10,60,0,15,90,100,50,0,20,20,80,10
6,7,/spirits/port-ellen-32-year-1979-2012-special-release,"https://ip-distiller.imgix.net/images/spirits/d1bfe6c0-5a76-0133-8b8a-121ac42cec7e/port_ellen_1979_32_year_2012_limited_release_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Port Ellen 32 Year 1979 (2012 Special Release),9.78,Peated Single Malt,"Islay, Scotland",27.0,5,52.5,"American oak, refill European oak ",70,50,20,10,20,80,80,60,5,40,25,50,0
7,8,/spirits/thomas-h-handy-sazerac-rye-fall-2015,"https://ip-distiller.imgix.net/images/spirits/acb8dac0-43a6-0133-4f6b-6e49329533a6/thomas_h_handy_sazerac_straight_rye_2015_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Thomas H. Handy Sazerac Rye (Fall 2015),9.21,Rye,"Kentucky, USA",169.0,3,63.45,"new, charred American oak",10,0,60,0,10,80,80,80,0,50,10,30,20
8,9,/spirits/william-larue-weller-bourbon-fall-2015,"https://ip-distiller.imgix.net/images/spirits/a2256390-43a3-0133-4f6a-6e49329533a6/william_larue_weller_bourbon_2015_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",William Larue Weller Bourbon (Fall 2015),9.33,Bourbon,"Kentucky, USA",252.0,3,67.3,"new, charred American oak",10,0,30,0,30,80,80,80,0,60,10,40,20
9,10,/spirits/the-balvenie-tun-1509-batch-1,"https://ip-distiller.imgix.net/images/spirits/b2c514d0-a8a0-0132-a462-0298fdb44177/balvenie-tun-1509-batch-1_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Balvenie Tun 1509 Batch 1,9.22,Single Malt,"Speyside, Scotland",80.0,5,47.1,ex-bourbon/ex-sherry,10,0,25,10,15,80,80,80,10,40,0,40,20
10,11,/spirits/booker-s-bourbon-batch-2015-01,"https://ip-distiller.imgix.net/images/spirits/4a705280-9c42-0132-7bd2-46ee4a41af5a/bookes-2015-1-big-man-small-batch_large_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=","Booker's Bourbon Batch 2015-01 ""Big Man, Small Batch""",8.72,Bourbon,"Kentucky, USA",716.0,3,64.35,"new, charred American oak",15,0,35,5,20,80,80,75,10,30,20,40,0
11,12,/spirits/four-roses-single-barrel-2013,"https://ip-distiller.imgix.net/images/spirits/60978800-8588-0132-f124-5ae0af5970b7/four-roses-single-barrel-2013_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Four Roses Limited Edition Single Barrel Bourbon (2013),8.43,Bourbon,"Kentucky, USA",160.0,5,59.8,"new, charred American oak",30,0,80,40,40,90,90,70,30,10,0,60,10
12,13,/spirits/macallan-rare-cask,"https://ip-distiller.imgix.net/images/spirits/35822060-518a-0132-5bd3-4ecce4ba707e/the-macallan-rare-cask_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Macallan Rare Cask,9.02,Single Malt,"Highlands, Scotland",833.0,5,43.0,first fill sherry,5,0,25,5,15,85,85,80,0,35,10,40,10
13,14,/spirits/four-roses-bourbon-single-barrel-2014,"https://ip-distiller.imgix.net/images/spirits/3a91ea80-4761-0132-a6e3-0266af8722d3/four_roses_single_barrel_2014_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Four Roses Limited Edition Single Barrel Bourbon (2014),8.48,Bourbon,"Kentucky, USA",514.0,4,54.2,"new, charred American oak",10,0,60,60,80,100,100,80,20,90,0,80,10
14,15,/spirits/the-macallan-fine-oak-21,"https://ip-distiller.imgix.net/images/spirits/0b368ef0-27b3-0132-7a24-5ee4a9b8b9e5/macallan_fine_oak_21_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Macallan Fine Oak 21 Year,9.0,Single Malt,"Highlands, Scotland",253.0,5,43.0,ex-sherry/ex-bourbon,15,0,10,0,10,80,85,80,0,25,5,30,5
15,16,/spirits/thomas-h-handy-sazerac-rye-fall-2014,"https://ip-distiller.imgix.net/images/spirits/fee5c4b0-1a96-0132-975b-1a5d32c7a74d/thomas-h-handy-sazerac-straight-rye-2014_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Thomas H. Handy Sazerac Rye (Fall 2014),9.13,Rye,"Kentucky, USA",220.0,3,64.6,new charred oak,0,0,30,5,0,75,70,75,0,20,15,30,10
16,17,/spirits/parker-s-heritage-promise-of-hope,"https://ip-distiller.imgix.net/images/spirits/438dcde0-e070-0131-ef2b-1ab03dbca12e/parkers_heritage_promise_of_hope_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Parker's Heritage Promise of Hope,8.88,Bourbon,"Kentucky, USA",238.0,4,48.0,new charred oak,0,0,20,0,0,75,75,75,0,15,0,20,5
17,18,/spirits/george-dickel-x-leopold-bros-collaboration-blend,"https://ip-distiller.imgix.net/images/spirits/97cfcc80-1ff4-013a-bd98-02466c9c4d07/dickelleopold_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",George Dickel x Leopold Bros Collaboration Blend (2021 Release),8.3,Rye,USA,87.0,4,50.0,,20,0,80,75,10,35,45,35,0,30,40,45,15
18,19,/spirits/booker-s-bourbon-batch-2021-01-donohoe-s-batch,"https://ip-distiller.imgix.net/images/spirits/fd4d6ff0-61b2-0139-7c5e-429115e927b0/bookersdonahoe_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=","Booker's Bourbon Batch 2021-01 ""Donohoe's Batch""",8.41,Bourbon,"Kentucky, USA",123.0,4,62.65,"new, charred American oak",5,0,25,40,10,75,75,85,5,30,10,40,0
19,20,/spirits/bushmills-28-year-the-rare-casks-cognac-cask,"https://ip-distiller.imgix.net/images/spirits/bb03c4b0-a9c1-0138-ad8a-1217ac28eb12/bushmills_28_rare_cask_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Bushmills 28 Year The Rare Casks Cognac Cask Single Malt,7.4,Single Malt,Northern Ireland,5.0,5,46.7,"ex-bourbon and ex-oloroso sherry casks, finished in cognac casks",10,0,30,10,30,55,55,65,0,25,30,85,25
20,21,/spirits/bunnahabhain-2008-moine-bordeaux-red-wine-cask-matured,"https://ip-distiller.imgix.net/images/spirits/bdc1b000-a8ad-0136-2a6d-7edc0c336646/bunnahabhain_2008_moine_bordeaux_red_wine_cask_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Bunnahabhain 2008 Mòine Bordeaux Red Wine Cask Matured,8.61,Peated Single Malt,"Islay, Scotland",33.0,4,58.1,Bordeaux red wine casks,90,75,80,40,60,100,90,60,30,40,10,60,10
21,22,/spirits/bowmore-26-year-wine-matured,"https://ip-distiller.imgix.net/images/spirits/2c9cc7d0-876b-0135-3473-3edf6dc1e499/bowmore_26_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Bowmore Vintner's Trilogy 26 Year French Oak Barrique,8.9,Peated Single Malt,"Islay, Scotland",30.0,5,48.7,ex-bourbon & ex-red wine barriques,65,55,40,20,60,80,80,60,10,45,20,25,10
22,23,/spirits/sazerac-rye-18-year-fall-2017,"https://ip-distiller.imgix.net/images/spirits/8b677260-6f1a-0135-4552-4a25c911964f/btac_2017_sazerac_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Sazerac Rye 18 Year (Fall 2017),8.64,Rye,"Kentucky, USA",36.0,4,45.0,"new, charred American oak",50,0,85,45,6,50,50,40,0,25,40,50,0
23,24,/spirits/ardbeg-17-year,"https://ip-distiller.imgix.net/images/spirits/364c3880-0387-0134-8caf-4e6c3953646c/ardbeg_17_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Ardbeg 17 Year,8.32,Peated Single Malt,"Islay, Scotland",66.0,5,40.0,Ex-bourbon Barrels,65,70,10,15,15,5,20,65,45,70,0,5,15
24,25,/spirits/teeling-platinum-reserve-30-year-single-malt,"https://ip-distiller.imgix.net/images/spirits/634ba820-ec96-0133-379c-5277fea9ac89/teeling_platinum_reserve_30_year_single_malt_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Teeling Platinum Reserve 30 Year Single Malt,9.33,Single Malt,Ireland,3.0,5,46.0,ex-bourbon,30,0,60,20,10,70,60,50,30,70,20,30,20
25,26,/spirits/hibiki-30-year,"https://ip-distiller.imgix.net/images/spirits/35977a60-bbe6-0133-a406-16a648e409b7/hibiki_30_year_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Hibiki 30 Year,9.64,Blended,Japan,69.0,5,43.0,,20,10,75,30,20,65,70,85,15,30,10,85,25
26,27,/spirits/laphroaig-32-year,"https://ip-distiller.imgix.net/images/spirits/0b707c00-58e3-0133-d7bc-6a5be1060817/laphroaig_32_year_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Laphroaig 32 Year,9.43,Peated Single Malt,"Islay, Scotland",37.0,5,46.7,ex-Oloroso sherry ,50,70,20,0,20,80,75,60,5,40,15,60,0
27,28,/spirits/glenmorangie-1970-s-collection-77,"https://ip-distiller.imgix.net/images/spirits/a8645d80-4b48-0133-747f-5ac590f54aa6/glenmoranige_1970%2527s_collection_%252777_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Glenmorangie 1970's Collection '77,9.0,Single Malt,"Highlands, Scotland",14.0,5,43.0,,30,10,40,10,20,60,70,40,0,50,10,30,30
28,29,/spirits/laphroaig-cairdeas-feis-ile-2013-port-wood-edition,"https://ip-distiller.imgix.net/images/spirits/1fd8a827-344b-468a-a04c-6641296491e9/laphroaig_cairdeas_port_wood_edition_2013_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Laphroaig Cairdeas 2013 Port Wood Edition,8.66,Peated Single Malt,"Islay, Scotland",71.0,4,51.3,ex-bourbon & port barrels,10,40,70,50,20,70,80,80,20,80,20,80,80
29,30,/spirits/the-last-drop-48-year,"https://ip-distiller.imgix.net/images/spirits/6487bd70-0e6b-0133-e253-2e14679c7ac6/the-last-drop-48-year-whisky_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",The Last Drop 48 Year Blended Scotch Whisky,8.89,Blended,Scotland,9.0,5,48.6,,10,10,30,20,10,70,60,60,0,50,10,60,20
30,31,/spirits/balblair-1983-1st-release,"https://ip-distiller.imgix.net/images/spirits/44c55490-9ddf-0132-9179-7ad5dbf985ab/balblair-1983-1st-release_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Balblair 1983 1st Release,9.09,Single Malt,"Highlands , Scotland",33.0,5,46.0,ex-bourbon,10,0,35,5,10,75,75,70,0,40,10,40,10
31,32,/spirits/hirsch-selection-28-year-bourbon,"https://ip-distiller.imgix.net/images/spirits/252e54e0-8bb1-0132-ad01-3e18f3efae4e/hirsch-selection-28-year-bourbon_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Hirsch Selection 28 Year Bourbon,7.82,Bourbon,"Kentucky, USA",11.0,5,43.4,"new, charred American oak",60,0,80,40,40,100,100,80,0,100,60,80,60
32,33,/spirits/oban-21-year,"https://ip-distiller.imgix.net/images/spirits/48bfd220-8a37-0132-7e96-4a66c0808235/oban-21-year-cask-strength_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Oban 21 Year Cask Strength,8.53,Peated Single Malt,"Highlands, Scotland",45.0,5,58.5,rejuvenated American oak and 2nd fill sherry casks,60,60,70,40,80,100,100,70,70,80,60,80,90
33,34,/spirits/wild-turkey-diamond-anniversary-bourbon,"https://ip-distiller.imgix.net/images/spirits/003bf770-6a0e-0132-c008-3e0d9b297f94/wild-turkey-diamond-anniversary_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Wild Turkey Diamond Anniversary Bourbon,8.6,Bourbon,"Kentucky, USA",310.0,4,45.5,"new, charred American oak",60,0,60,50,25,50,50,55,0,55,25,60,30
34,35,/spirits/black-maple-hill-16-year-bourbon,"https://ip-distiller.imgix.net/images/spirits/08de7310-0096-0132-1cc1-0ea121e7e0fd/black-maple-hill-16-bourbon_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Black Maple Hill 16 Year Bourbon,9.22,Bourbon,"Kentucky, USA",69.0,4,47.5,new charred oak,0,0,15,0,0,80,80,70,0,10,5,20,0
35,36,/spirits/george-t-stagg-bourbon-fall-2013,"https://ip-distiller.imgix.net/images/spirits/57cb43f0-5a37-0131-4c3b-36b20afe4897/george-t-stagg-barrel-strength_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",George T. Stagg Bourbon (Fall 2013),9.2,Bourbon,"Kentucky, USA",431.0,5,64.1,New American Oak,30,0,40,40,90,90,90,60,0,50,30,70,60
36,37,/spirits/highland-park-30,"https://ip-distiller.imgix.net/images/spirits/392862f0-595a-0131-f815-4ee0f0391393/highland_park_30_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Highland Park 30 Year,8.69,Peated Single Malt,"Islands, Scotland",118.0,5,48.1,refill ex-sherry casks,50,50,60,30,30,70,70,70,50,50,20,60,40
37,38,/spirits/yamazaki-18,"https://ip-distiller.imgix.net/images/spirits/65141b7e-337d-437e-b034-3a62725751e8/yamazaki_18_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Yamazaki 18 Year,9.21,Single Malt,"Honshu, Japan",1034.0,5,43.0,"80% Sherry, 20% Mizunara and American",40,20,60,30,30,80,80,80,20,50,60,80,60
38,39,/spirits/lark-single-malt-distiller-s-selection,"https://ip-distiller.imgix.net/images/spirits/50ff04fe-3a49-488e-a49e-5c4ee863dad5/lark-distillers-selection_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Lark Single Malt Distiller's Selection,8.96,Peated Single Malt,"Tasmania, Australia",24.0,5,46.0,ex-Aussie-style port oak Quarter Casks,40,45,70,60,35,60,60,40,20,20,40,70,50
39,40,/spirits/bushmills-21-year-old,"https://ip-distiller.imgix.net/images/spirits/9dc7e750-ff92-497b-9230-1ba3d7ee1347/bushmills_21_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Bushmills 21 Year Single Malt,8.72,Single Malt,Northern Ireland,415.0,4,40.0,"Ex-bourbon, Oloroso Sherry casks, & ex-Madeira wine",40,10,60,10,20,70,80,80,20,60,30,90,47
40,41,/spirits/compass-box-hedonism,"https://ip-distiller.imgix.net/images/spirits/bcc2521f-d4dc-49a5-a9bf-ec94ba2faa14/compass_box_headonism_blended_grain_scotch_whisky_new_bottle_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Compass Box Hedonism,8.35,Blended Grain,Scotland,795.0,4,43.0,ex-bourbon,10,10,60,20,30,70,90,80,20,60,20,80,50
41,42,/spirits/the-last-drop-signature-blend,"https://ip-distiller.imgix.net/images/spirits/f5b3b2e0-1cf4-013b-661a-06b811377877/the_last_drop_signature_blend_original-1663886237.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",The Last Drop Signature Blend,,Blended American Whiskey,"Kentucky, USA",,5,60.7,,20,0,60,40,20,90,90,70,0,80,30,50,10
42,43,/spirits/heaven-hill-heritage-collection-17-year-barrel-proof-bourbon-spring-2022,"https://ip-distiller.imgix.net/images/spirits/75acbbc0-7d43-013a-c0fc-52e926541bb3/hh17_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Heaven Hill 17 Year Heritage Collection Barrel Proof Bourbon (Spring 2022),8.65,Bourbon,"Kentucky, USA",46.0,5,59.1,"new, charred American oak",25,0,60,0,15,55,55,60,0,35,25,35,0
43,44,/spirits/jack-daniel-s-single-barrel-coy-hill-high-proof-2021-release,"https://ip-distiller.imgix.net/images/spirits/6dc8e600-1d87-013a-36d5-22acd2295162/jdcoyhill_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Jack Daniel's Single Barrel Coy Hill High Proof (2021 Special Release),8.63,Tennessee,"Tennessee, USA",83.0,3,74.15,"new, charred American oak",35,0,85,50,15,45,45,55,0,45,30,60,0
44,45,/spirits/gordon-macphail-generations-80-year,"https://ip-distiller.imgix.net/images/spirits/1f919680-ee71-0139-cb61-4e44baa99e4f/glen_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Glenlivet 1940 80 Year Generations (Gordon & MacPhail),10.0,Peated Single Malt,"Speyside, Scotland",1.0,5,44.9,first-fill sherry butt,20,30,40,30,60,80,60,30,20,20,30,80,40
45,46,/spirits/glenfiddich-grand-couronne-26-year,"https://ip-distiller.imgix.net/images/spirits/f1e5a5b0-e341-0139-b8bb-3eeb46b9c31a/glenfiddichgrande_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Glenfiddich Grand Couronne 26 Year,8.67,Single Malt,"Speyside , Scotland",9.0,5,43.8,"American oak, European oak, ex-Cognac ",0,0,25,0,15,80,85,80,5,35,25,40,10
46,47,/spirits/laphroaig-33-year-the-ian-hunter-story-book-3,"https://ip-distiller.imgix.net/images/spirits/0bb13a10-64e4-0139-6bd1-52927e536f2b/laphroaig_33_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Laphroaig 33 Year The Ian Hunter Story Book 3,,Peated Single Malt,"Islay, Scotland",,5,49.9,refill ex-bourbon barrels,30,20,30,50,20,40,40,40,10,30,25,60,5
47,48,/spirits/michter-s-us-1-barrel-strength-kentucky-straight-rye-2021-release,"https://ip-distiller.imgix.net/images/spirits/250636c0-5832-0139-b8fc-56ccf18b147e/michters_2019_barrel_Strength_rye_original_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Michter's US*1 Barrel Strength Kentucky Straight Rye (2021 Release),8.67,Rye,"Kentucky, USA",57.0,4,55.15,"new, charred American oak",5,0,65,10,10,60,60,65,0,25,10,30,0
48,49,/spirits/laphroaig-25-year-cask-strength-2020-edition,"https://ip-distiller.imgix.net/images/spirits/0e8ad890-18ac-0139-ea1c-1e7985249479/laphroaig25_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Laphroaig 25 Year Cask Strength (2020 Edition),9.14,Peated Single Malt,"Islay, Scotland",7.0,5,49.8,second-fill European oak oloroso sherry and ex-bourbon,70,80,70,20,40,70,70,60,50,80,10,40,30
49,50,/spirits/whistlepig-the-boss-hog-vii-magellan-s-atlantic,"https://ip-distiller.imgix.net/images/spirits/b90081c0-de65-0138-714a-4ed899f5fb75/whistlepig_boss_hog_vii_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",WhistlePig The Boss Hog VII: Magellan's Atlantic,9.0,Rye,"(bottled in) Vermont, Canada",71.0,5,52.6,"new, charred American oak; finished in Spanish oak & South American teakwood",25,0,80,45,15,55,55,50,0,25,25,25,0
50,51,/spirits/george-t-stagg-bourbon-fall-2020,"https://ip-distiller.imgix.net/images/spirits/18477fa0-d4db-0138-df46-1af832e03f50/george_t_stagg_2020_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",George T. Stagg Bourbon (Fall 2020),9.13,Bourbon,"Kentucky, USA",258.0,4,65.2,"new, charred American oak",20,0,30,10,40,90,90,80,0,90,20,10,0
51,52,/spirits/redbreast-27-year,"https://ip-distiller.imgix.net/images/spirits/ad253090-3038-0138-c93f-5a7395f175bf/redbreast_27_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Redbreast 27 Year,9.22,Single Pot Still,Ireland,90.0,5,53.5,"ruby port, ex-bourbon, and ex-oloroso sherry",10,0,55,25,45,60,75,70,10,50,20,50,35
52,53,/spirits/mister-sam-blended-whiskey-2019-release,"https://ip-distiller.imgix.net/images/spirits/c5d55c60-3d10-0137-5806-56bd54c6e596/tribute_mister_sam_whiskey_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Mister Sam Blended Whiskey (2019 Release),8.89,Other Whiskey,Multiple Countries,9.0,5,66.9,,60,0,55,20,35,65,65,45,0,45,20,55,25
53,54,/spirits/bunnahabhain-2005-palo-cortado-cask-finish,"https://ip-distiller.imgix.net/images/spirits/408dba60-d08b-0136-7c3b-0ea9806d6b63/bunnahabhain_palo_cotrado_2005_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Bunnahabhain 2005 Palo Cortado Cask Finish,9.2,Peated Single Malt,"Islay, Scotland",10.0,5,54.9,finished in Palo Cortado sherry casks,30,0,60,10,40,100,90,70,20,20,10,60,20
54,55,/spirits/canadian-club-41-year,"https://ip-distiller.imgix.net/images/spirits/f4a7f6f0-cdca-0136-8928-3adb6c31c25f/canadian_club_41_year_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Canadian Club Chronicles 41 Year,8.75,Canadian,"Ontario, Canada",48.0,5,45.0,Used American White Oak,40,0,40,10,10,60,65,60,0,50,20,55,35
55,56,/spirits/red-spot-15-year-single-pot-still,"https://ip-distiller.imgix.net/images/spirits/6a585690-b6ec-0136-34c1-0e7b9454bec8/red_spot_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Red Spot 15 Year Single Pot Still,8.45,Single Pot Still,Ireland,262.0,4,46.0,"American oak ex-bourbon, ex-sherry butts, ex-Marsala wine casks",10,0,40,15,15,45,45,60,0,25,50,80,15
56,57,/spirits/william-larue-weller-fall-2018,"https://ip-distiller.imgix.net/images/spirits/bd261670-9d83-0136-dc42-3e983e3ab871/btac_wlw_2018_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",William Larue Weller Bourbon (Fall 2018),9.09,Bourbon,"Kentucky, USA",218.0,4,62.85,"new, charred American oak",35,0,55,20,10,40,40,45,0,25,30,25,0
57,58,/spirits/old-forester-birthday-bourbon-2018,"https://ip-distiller.imgix.net/images/spirits/737060b0-7bf6-0136-4ba0-1e60f42cfb9f/old_forester_birthday_bourbon_2018_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Old Forester Birthday Bourbon 2018,8.74,Bourbon,"Kentucky, USA",261.0,4,50.5,"new, charred American oak",40,0,40,15,30,45,45,60,15,35,45,65,0
